scenario_id,pv_kw,wind_kw,battery_kwh,elec_load_mwh_per_year,heat_mwh_per_year,heat_peak_kw,pv_gen_mwh,wind_gen_mwh,spill_mwh,import_mwh,export_mwh,curtailment_ratio,self_sufficiency,battery_cycles_per_year,capex_total_eur,ann_capex_elec_eur_per_year,ann_pv_eur_per_year,ann_wind_eur_per_year,ann_batt_eur_per_year,ann_grid_eur_per_year,heat_total_annual_eur_per_year,total_annual_eur_per_year,lco_served_eur_per_kwh,timeseries_file
s5_2035_costs_grid_connected_gshp,254.42659,1847.003,7082.2277,2029.0605201187923,2678.470449663289,1529.5388268537547,293.80666636075483,5538.426889806,3796.68646661501,0.0,0.0,0.6509832691114635,1.0,17.40206208331737,4892159.665519999,568712.811056226,17820.71624275626,275236.0463048887,275656.048508581,0.0,310090.9719849809,878803.7830412069,0.4331087093399052,timeseries_s5_2035_costs_grid_connected_gshp.csv.gz
s5_2035_costs_grid_connected_ashp,215.57615,1979.2526,7807.5232,2141.8166431432705,2678.470449663289,1529.5388268537547,248.94296613567803,5934.990804865201,4035.2906999354605,0.0,0.0,0.6525442945166507,1.0,16.61246123390578,5259731.8377,613929.2607733925,15099.527914342054,294943.5708889868,303886.16197006364,0.0,242592.72576640133,856521.9865397939,0.3999044405980458,timeseries_s5_2035_costs_grid_connected_ashp.csv.gz
s5_2035_costs_grid_connected_electric,0.0,4762.7697,18238.437,4020.7436749966228,2678.470449663289,1529.5388268537547,0.0,14281.650747959402,10248.53251834604,0.0,0.0,0.7176013963099033,1.0,12.891160231185413,12137649.2412,1419617.266281133,0.0,709736.7474166099,709880.5188645233,0.0,8266.977636699756,1427884.2439178328,0.3551293888235818,timeseries_s5_2035_costs_grid_connected_electric.csv.gz
s5_2035_costs_grid_connected_district,388.05963,968.27494,4352.7234,1342.2732253333336,2678.470449663289,1529.5388268537547,448.1233908747037,2903.47117163388,2002.0760041812619,0.0,0.0,0.5973502960581123,1.0,31.626442109216967,2918391.5205800002,340888.45881474676,27180.730408323227,144290.055956435,169417.67244998852,0.0,370776.3137287655,711664.7725435123,0.5301936737706893,timeseries_s5_2035_costs_grid_connected_district.csv.gz
s5_2035_costs_grid_connected_final_district,388.05963,968.27494,4352.7234,1342.2732253333336,2678.470449663289,1529.5388268537547,448.1233908747037,2903.47117163388,2002.0760041812619,0.0,0.0,0.5973502960581123,1.0,31.626442109216967,2918391.5205800002,340888.45881474676,27180.730408323227,144290.055956435,169417.67244998852,0.0,370776.3137287655,711664.7725435123,0.5301936737706893,timeseries_s5_2035_costs_grid_connected_final_district.csv.gz
s1_islanded_gshp,254.42659,1847.003,7082.2277,2029.0605201187923,2678.470449663289,1529.5388268537547,293.80666636075483,5538.426889806,3796.68646661501,0.0,0.0,0.6509832691114635,1.0,17.40206208331737,4892159.665519999,568712.811056226,17820.71624275626,275236.0463048887,275656.048508581,0.0,310090.9719849809,878803.7830412069,0.4331087093399052,timeseries_s1_islanded_gshp.csv.gz
s1_islanded_ashp,215.57615,1979.2526,7807.5232,2141.8166431432705,2678.470449663289,1529.5388268537547,248.94296613567803,5934.990804865201,4035.2906999354605,0.0,0.0,0.6525442945166507,1.0,16.61246123390578,5259731.8377,613929.2607733925,15099.527914342054,294943.5708889868,303886.16197006364,0.0,242592.72576640133,856521.9865397939,0.3999044405980458,timeseries_s1_islanded_ashp.csv.gz
s1_islanded_electric,0.0,4762.7697,18238.437,4020.7436749966228,2678.470449663289,1529.5388268537547,0.0,14281.650747959402,10248.53251834604,0.0,0.0,0.7176013963099033,1.0,12.891160231185413,12137649.2412,1419617.266281133,0.0,709736.7474166099,709880.5188645233,0.0,8266.977636699756,1427884.2439178328,0.3551293888235818,timeseries_s1_islanded_electric.csv.gz
s1_islanded_district,388.05963,968.27494,4352.7234,1342.2732253333336,2678.470449663289,1529.5388268537547,448.1233908747037,2903.47117163388,2002.0760041812619,0.0,0.0,0.5973502960581123,1.0,31.626442109216967,2918391.5205800002,340888.45881474676,27180.730408323227,144290.055956435,169417.67244998852,0.0,370776.3137287655,711664.7725435123,0.5301936737706893,timeseries_s1_islanded_district.csv.gz
s1_islanded_final_district,388.05963,968.27494,4352.7234,1342.2732253333336,2678.470449663289,1529.5388268537547,448.1233908747037,2903.47117163388,2002.0760041812619,0.0,0.0,0.5973502960581123,1.0,31.626442109216967,2918391.5205800002,340888.45881474676,27180.730408323227,144290.055956435,169417.67244998852,0.0,370776.3137287655,711664.7725435123,0.5301936737706893,timeseries_s1_islanded_final_district.csv.gz
s1_islanded_gshp,254.42659,1847.003,7082.2277,1342.2732253333336,2678.470449663289,1529.5388268537547,293.80666636075483,5538.426889806,3796.68646661501,0.0,0.0,0.6509832691114635,1.0,17.40206208331737,4892159.665519999,568712.811056226,17820.71624275626,275236.0463048887,275656.048508581,0.0,310090.9719849809,878803.7830412069,0.6547130393835943,timeseries_s1_islanded_gshp.csv.gz
s1_islanded_ashp,215.57615,1979.2526,7807.5232,1342.2732253333336,2678.470449663289,1529.5388268537547,248.94296613567803,5934.990804865201,4035.2906999354605,0.0,0.0,0.6525442945166507,1.0,16.61246123390578,5259731.8377,613929.2607733925,15099.527914342054,294943.5708889868,303886.16197006364,0.0,242592.72576640133,856521.9865397939,0.6381129939674461,timeseries_s1_islanded_ashp.csv.gz
s1_islanded_electric,0.0,4762.7697,18238.437,1342.2732253333336,2678.470449663289,1529.5388268537547,0.0,14281.650747959402,10248.53251834604,0.0,0.0,0.7176013963099033,1.0,12.891160231185413,12137649.2412,1419617.266281133,0.0,709736.7474166099,709880.5188645233,0.0,8266.977636699756,1427884.2439178328,1.0637806200471884,timeseries_s1_islanded_electric.csv.gz
s1_islanded_district,388.05963,968.27494,4352.7234,1342.2732253333336,2678.470449663289,1529.5388268537547,448.1233908747037,2903.47117163388,2002.0760041812619,0.0,0.0,0.5973502960581123,1.0,31.626442109216967,2918391.5205800002,340888.45881474676,27180.730408323227,144290.055956435,169417.67244998852,0.0,370776.3137287655,711664.7725435123,0.5301936737706893,timeseries_s1_islanded_district.csv.gz
s1_islanded_final_district,388.05963,968.27494,4352.7234,1342.2732253333336,2678.470449663289,1529.5388268537547,448.1233908747037,2903.47117163388,2002.0760041812619,0.0,0.0,0.5973502960581123,1.0,31.626442109216967,2918391.5205800002,340888.45881474676,27180.730408323227,144290.055956435,169417.67244998852,0.0,370776.3137287655,711664.7725435123,0.5301936737706893,timeseries_s1_islanded_final_district.csv.gz
s1_islanded_gshp,254.42659,1847.003,7082.2277,2029.0605201187923,2678.470449663289,1529.5388268537547,293.80666636075483,5538.426889806,3796.68646661501,0.0,0.0,0.6509832691114635,1.0,17.40206208331737,4892159.665519999,568712.811056226,17820.71624275626,275236.0463048887,275656.048508581,0.0,310090.9719849809,878803.7830412069,0.4331087093399052,timeseries_s1_islanded_gshp.csv.gz
s1_islanded_ashp,215.57615,1979.2526,7807.5232,2141.8166431432705,2678.470449663289,1529.5388268537547,248.94296613567803,5934.990804865201,4035.2906999354605,0.0,0.0,0.6525442945166507,1.0,16.61246123390578,5259731.8377,613929.2607733925,15099.527914342054,294943.5708889868,303886.16197006364,0.0,242592.72576640133,856521.9865397939,0.3999044405980458,timeseries_s1_islanded_ashp.csv.gz
s1_islanded_electric,0.0,4762.7697,18238.437,4020.7436749966228,2678.470449663289,1529.5388268537547,0.0,14281.650747959402,10248.53251834604,0.0,0.0,0.7176013963099033,1.0,12.891160231185413,12137649.2412,1419617.266281133,0.0,709736.7474166099,709880.5188645233,0.0,8266.977636699756,1427884.2439178328,0.3551293888235818,timeseries_s1_islanded_electric.csv.gz
s1_islanded_district,388.05963,968.27494,4352.7234,1342.2732253333336,2678.470449663289,1529.5388268537547,448.1233908747037,2903.47117163388,2002.0760041812619,0.0,0.0,0.5973502960581123,1.0,31.626442109216967,2918391.5205800002,340888.45881474676,27180.730408323227,144290.055956435,169417.67244998852,0.0,370776.3137287655,711664.7725435123,0.5301936737706893,timeseries_s1_islanded_district.csv.gz
s1_islanded_final_district,388.05963,968.27494,4352.7234,1342.2732253333336,2678.470449663289,1529.5388268537547,448.1233908747037,2903.47117163388,2002.0760041812619,0.0,0.0,0.5973502960581123,1.0,31.626442109216967,2918391.5205800002,340888.45881474676,27180.730408323227,144290.055956435,169417.67244998852,0.0,370776.3137287655,711664.7725435123,0.5301936737706893,timeseries_s1_islanded_final_district.csv.gz
s1_islanded_gshp,254.42659,1847.003,7082.2277,2029.0605201187923,2678.470449663289,1529.5388268537547,293.80666636075483,5538.426889806,3796.68646661501,0.0,0.0,0.6509832691114635,1.0,17.40206208331737,4892159.665519999,568712.811056226,17820.71624275626,275236.0463048887,275656.048508581,0.0,310090.9719849809,878803.7830412069,0.4331087093399052,timeseries_s1_islanded_gshp.csv.gz
s1_islanded_ashp,215.57615,1979.2526,7807.5232,2141.8166431432705,2678.470449663289,1529.5388268537547,248.94296613567803,5934.990804865201,4035.2906999354605,0.0,0.0,0.6525442945166507,1.0,16.61246123390578,5259731.8377,613929.2607733925,15099.527914342054,294943.5708889868,303886.16197006364,0.0,242592.72576640133,856521.9865397939,0.3999044405980458,timeseries_s1_islanded_ashp.csv.gz
s1_islanded_electric,0.0,4762.7697,18238.437,4020.7436749966228,2678.470449663289,1529.5388268537547,0.0,14281.650747959402,10248.53251834604,0.0,0.0,0.7176013963099033,1.0,12.891160231185413,12137649.2412,1419617.266281133,0.0,709736.7474166099,709880.5188645233,0.0,8266.977636699756,1427884.2439178328,0.3551293888235818,timeseries_s1_islanded_electric.csv.gz
s1_islanded_district,388.05963,968.27494,4352.7234,1342.2732253333336,2678.470449663289,1529.5388268537547,448.1233908747037,2903.47117163388,2002.0760041812619,0.0,0.0,0.5973502960581123,1.0,31.626442109216967,2918391.5205800002,340888.45881474676,27180.730408323227,144290.055956435,169417.67244998852,0.0,370776.3137287655,711664.7725435123,0.5301936737706893,timeseries_s1_islanded_district.csv.gz
s1_islanded_final_district,388.05963,968.27494,4352.7234,1342.2732253333336,2678.470449663289,1529.5388268537547,448.1233908747037,2903.47117163388,2002.0760041812619,0.0,0.0,0.5973502960581123,1.0,31.626442109216967,2918391.5205800002,340888.45881474676,27180.730408323227,144290.055956435,169417.67244998852,0.0,370776.3137287655,711664.7725435123,0.5301936737706893,timeseries_s1_islanded_final_district.csv.gz
s1_islanded_gshp,254.42659,1847.003,7082.2277,2029.0605201187923,2678.470449663289,1529.5388268537547,293.80666636075483,5538.426889806,3796.68646661501,0.0,0.0,0.6509832691114635,1.0,17.40206208331737,4892159.665519999,568712.811056226,17820.71624275626,275236.0463048887,275656.048508581,0.0,310090.9719849809,878803.7830412069,0.4331087093399052,timeseries_s1_islanded_gshp.csv.gz
s1_islanded_ashp,215.57615,1979.2526,7807.5232,2141.8166431432705,2678.470449663289,1529.5388268537547,248.94296613567803,5934.990804865201,4035.2906999354605,0.0,0.0,0.6525442945166507,1.0,16.61246123390578,5259731.8377,613929.2607733925,15099.527914342054,294943.5708889868,303886.16197006364,0.0,242592.72576640133,856521.9865397939,0.3999044405980458,timeseries_s1_islanded_ashp.csv.gz
s1_islanded_electric,0.0,4762.7697,18238.437,4020.7436749966228,2678.470449663289,1529.5388268537547,0.0,14281.650747959402,10248.53251834604,0.0,0.0,0.7176013963099033,1.0,12.891160231185413,12137649.2412,1419617.266281133,0.0,709736.7474166099,709880.5188645233,0.0,8266.977636699756,1427884.2439178328,0.3551293888235818,timeseries_s1_islanded_electric.csv.gz
s1_islanded_district,388.05963,968.27494,4352.7234,1342.2732253333336,2678.470449663289,1529.5388268537547,448.1233908747037,2903.47117163388,2002.0760041812619,0.0,0.0,0.5973502960581123,1.0,31.626442109216967,2918391.5205800002,340888.45881474676,27180.730408323227,144290.055956435,169417.67244998852,0.0,370776.3137287655,711664.7725435123,0.5301936737706893,timeseries_s1_islanded_district.csv.gz
s1_islanded_final_district,388.05963,968.27494,4352.7234,1342.2732253333336,2678.470449663289,1529.5388268537547,448.1233908747037,2903.47117163388,2002.0760041812619,0.0,0.0,0.5973502960581123,1.0,31.626442109216967,2918391.5205800002,340888.45881474676,27180.730408323227,144290.055956435,169417.67244998852,0.0,370776.3137287655,711664.7725435123,0.5301936737706893,timeseries_s1_islanded_final_district.csv.gz
s2_grid_connected_gshp,97.447434,818.61755,620.03438,2029.0605201187923,2678.470449663289,1529.5388268537547,112.53032054923848,2454.7082226651005,849.67936148576,320.533265010002,0.0,0.3309701639263758,0.8420287311138279,276.7693750617046,1484726.818372,152947.05796467967,6825.477910538828,121988.46341765257,24133.116636488256,79610.13991829322,310090.9719849809,542648.1698679538,0.2674381392212905,timeseries_s2_grid_connected_gshp.csv.gz
s2_grid_connected_ashp,84.51297,879.36865,581.93658,2141.8166431432705,2678.470449663289,1529.5388268537547,97.59386383296838,2636.8765926273,930.464680122365,346.37540850533,0.0,0.34027234703674136,0.8382796166916515,279.6287970825722,1557973.93922,159611.2287098401,5919.51359015806,131041.44956476381,22650.265554918227,86568.57793641677,242592.72576640133,488772.5324126582,0.22820465700338813,timeseries_s2_grid_connected_ashp.csv.gz
s2_grid_connected_electric,0.0,1851.1922,506.60421,4020.7436749966228,2678.470449663289,1529.5388268537547,0.0,5550.9886333044005,2298.019469660941,775.3791560555101,0.0,0.4139838182830097,0.807155287993791,285.2134561244685,2960182.62127,295578.47326625197,0.0,275860.31104359264,19718.162222659314,197913.03672029314,8266.977636699756,501758.4876232448,0.1247924583562682,timeseries_s2_grid_connected_electric.csv.gz
