snapshot,load_kW,pv_used_kW,wind_used_kW,dis_kW,ch_kW,battery_net_kW,soc_kWh,grid_import_kW,pv_kW,wind_kW,ren_potential_kW,ren_used_kW,spill_kW
2019-02-26 00:00:00,111.21960855911962,0.0,129.72793010050623,0.0,18.508321541506238,-18.508321541506238,128.2240579474552,-0.0,0.0,129.72793010050623,129.72793010050623,129.72793010050623,0.0
2019-02-26 01:00:00,85.1802870828603,0.0,85.1802870829,0.0,-0.0,0.0,128.2240579474552,-0.0,0.0,102.80326536266531,102.80326536266531,85.1802870829,17.62297827976532
2019-02-26 02:00:00,74.74168860605162,0.0,74.7416886061,0.0,-0.0,0.0,128.2240579474552,-0.0,0.0,81.99784261069735,81.99784261069735,74.7416886061,7.256154004597349
2019-02-26 03:00:00,69.47351076489336,0.0,69.47351076490001,0.0,-0.0,0.0,128.2240579474552,-0.0,0.0,80.77399421352274,80.77399421352274,69.47351076490001,11.300483448622728
2019-02-26 04:00:00,78.47378906353434,0.0,78.47378906349999,0.0,-0.0,0.0,128.2240579474552,-0.0,0.0,81.38591841211004,81.38591841211004,78.47378906349999,2.9121293486100512
2019-02-26 05:00:00,97.84340551612169,0.0,74.0428280290625,23.800577487037497,0.0,23.800577487037497,103.805169793558,-0.0,0.0,74.0428280290625,74.0428280290625,74.0428280290625,0.0
2019-02-26 06:00:00,112.7417390860788,0.0,68.53551024177688,44.20622884422313,0.0,44.20622884422313,58.450515754571825,-0.0,0.0,68.53551024177688,68.53551024177688,68.53551024177688,0.0
2019-02-26 07:00:00,113.70836803044233,0.0,64.86396505025311,48.84440297974689,0.0,48.84440297974689,8.337193338091964,-0.0,21.690372713845736,64.86396505025311,86.55433776409885,64.86396505025311,21.690372713845733
2019-02-26 08:00:00,115.6319204164166,45.87256177704853,69.75935863895147,0.0,-0.0,0.0,8.337193338091964,-0.0,66.27391145284103,69.75935863895147,136.0332700917925,115.631920416,20.401349675792503
2019-02-26 09:00:00,111.92025702844023,128.22012540324576,78.93822161776087,0.0,95.23808999300664,-95.23808999300664,101.16375965438567,-0.0,128.22012540324576,78.93822161776087,207.15834702100665,207.15834702100665,0.0
2019-02-26 10:00:00,99.63861706155448,156.28058583048687,0.0,0.0,56.64196876888687,-56.64196876888687,156.37149713207558,-0.0,156.28058583048687,85.6693878022211,241.94997363270795,156.28058583048687,85.66938780222108
2019-02-26 11:00:00,101.07751695160286,162.80397073061707,81.99784261069735,0.0,143.7242963893144,-143.7242963893144,296.45655061251614,-0.0,162.80397073061707,81.99784261069735,244.8018133413144,244.8018133413144,0.0
2019-02-26 12:00:00,106.00788087261708,161.74268251476076,0.0,0.0,55.734801641760754,-55.734801641760754,350.78009134190586,-0.0,161.74268251476073,79.55014581634816,241.2928283311089,161.74268251476076,79.55014581634813
2019-02-26 13:00:00,112.69630014687743,140.24334167976915,83.22169100787193,0.0,110.76873254064108,-110.76873254064108,458.74404880588537,-0.0,140.24334167976915,83.22169100787193,223.46503268764107,223.46503268764107,0.0
2019-02-26 14:00:00,116.140337492035,104.06048877384099,88.11708459657027,0.0,76.03723587841124,-76.03723587841124,532.8559458346193,-0.0,104.06048877384099,88.11708459657027,192.17757337041127,192.17757337041127,0.0
2019-02-26 15:00:00,130.6902623105295,27.886996948334687,102.80326536266531,0.0,-0.0,0.0,532.8559458346193,-0.0,52.8097016210105,102.80326536266531,155.61296698367582,130.690262311,24.92270467267582
2019-02-26 16:00:00,185.70615971045206,0.0,0.0,185.70615971,0.0,185.70615971,342.3253611915361,-0.0,0.3466874838463981,135.23524788779187,135.58193537163828,0.0,135.58193537163828
2019-02-26 17:00:00,246.18276924327154,0.0,176.84609339172783,69.33667585127218,0.0,69.33667585127218,271.18740105181405,-0.0,0.0,176.84609339172783,176.84609339172783,176.84609339172783,0.0
2019-02-26 18:00:00,303.40448129933964,0.0,213.56154530696543,89.84293599203458,0.0,89.84293599203458,179.01045254701071,-0.0,0.0,213.56154530696543,213.56154530696543,213.56154530696543,0.0
2019-02-26 19:00:00,311.13726374704066,0.0,231.91927126458427,79.21799248241577,0.0,79.21799248241577,97.73447093446708,-0.0,0.0,231.91927126458427,231.91927126458427,231.91927126458427,0.0
2019-02-26 20:00:00,306.4730756323081,0.0,239.87428584621907,66.59878978578094,0.0,66.59878978578094,29.40552388057272,-0.0,0.0,239.87428584621907,239.87428584621907,239.87428584621907,0.0
2019-02-26 21:00:00,274.04255024358326,0.0,245.38160363350474,28.66094661049526,0.0,28.66094661049526,0.0,-0.0,0.0,245.38160363350474,245.38160363350474,245.38160363350474,0.0
2019-02-26 22:00:00,225.27413756680977,0.0,225.274137567,0.0,-0.0,0.0,0.0,-0.0,0.0,241.71005844198095,241.71005844198095,225.274137567,16.43592087498095
2019-02-26 23:00:00,161.5335327463918,0.0,161.533532746,0.0,-0.0,0.0,0.0,-0.0,0.0,237.42658905186988,237.42658905186988,161.533532746,75.89305630586989
2019-02-27 00:00:00,108.60149081557658,0.0,245.993527832092,0.0,137.39203701609205,-137.39203701609205,133.91313324680758,-0.0,0.0,245.993527832092,245.993527832092,245.993527832092,0.0
2019-02-27 01:00:00,82.15173035569669,0.0,0.0,82.15173035570001,0.0,82.15173035570001,49.62719874385209,-0.0,0.0,252.72469401655223,252.72469401655223,0.0,252.72469401655223
2019-02-27 02:00:00,71.73728047669238,0.0,231.91927126458427,0.0,160.18199078788425,-160.18199078788425,205.75322134299634,-0.0,0.0,231.91927126458427,231.91927126458427,231.91927126458427,0.0
2019-02-27 03:00:00,66.57554825979084,0.0,66.5755482598,0.0,-0.0,0.0,205.75322134299634,-0.0,0.0,210.50192431402894,210.50192431402894,66.5755482598,143.92637605422894
2019-02-27 04:00:00,75.72298480064757,0.0,75.7229848006,0.0,-0.0,0.0,205.75322134299634,-0.0,0.0,219.06886309425107,219.06886309425107,75.7229848006,143.34587829365108
2019-02-27 05:00:00,95.4039612426147,0.0,95.4039612426,0.0,-0.0,0.0,205.75322134299634,-0.0,0.0,225.80002927871132,225.80002927871132,95.4039612426,130.39606803611133
2019-02-27 06:00:00,110.55254228548651,0.0,110.552542285,0.0,-0.0,0.0,205.75322134299634,-0.0,0.1603724415071774,217.2330904984892,217.39346293999637,110.552542285,106.84092065499637
2019-02-27 07:00:00,111.87486176790773,0.0,200.099212938045,0.0,88.22435117004498,-88.22435117004498,283.8933807182957,-0.0,54.08560589829556,200.099212938045,254.18481883634058,200.099212938045,54.08560589829557
2019-02-27 08:00:00,114.8440397209049,0.0,0.0,114.844039721,0.0,114.844039721,166.0658295752125,-0.0,111.47535577529047,162.7718368242201,274.2471925995105,0.0,274.2471925995105
2019-02-27 09:00:00,112.52052840093785,112.520528401,0.0,0.0,-0.0,0.0,166.0658295752125,-0.0,153.59434743524164,166.44338201574385,320.03772945098547,112.520528401,207.51720104998546
2019-02-27 10:00:00,101.00649999963825,0.0,101.0065,0.0,-0.0,0.0,166.0658295752125,-0.0,178.66197509376795,214.1734695055527,392.8354445993207,101.0065,291.82894459932066
2019-02-27 11:00:00,102.97540494510743,0.0,102.97540494500001,0.0,-0.0,0.0,166.0658295752125,-0.0,186.25136504626937,245.993527832092,432.2448928783614,102.97540494500001,329.26948793336135
2019-02-27 12:00:00,108.03815025877833,0.0,266.79895058406,0.0,158.76080032506002,-158.76080032506002,320.80664767524166,-0.0,177.25399939406526,266.79895058406,444.05294997812524,266.79895058406,177.25399939406526
2019-02-27 13:00:00,114.82974594279123,150.87980802090695,0.0,0.0,36.05006207790695,-36.05006207790695,355.9438861312739,-0.0,150.87980802090695,291.2759185275517,442.1557265484587,150.87980802090695,291.27591852755177
2019-02-27 14:00:00,118.50057959548683,0.0,118.500579595,0.0,-0.0,0.0,355.9438861312739,-0.0,94.55134635976835,302.290554102123,396.8419004618913,118.500579595,278.34132086689135
2019-02-27 15:00:00,133.1532885179933,0.0,133.153288518,0.0,-0.0,0.0,355.9438861312739,-0.0,53.13516334053979,312.0813412795197,365.2165046200595,133.153288518,232.06321610205947
2019-02-27 16:00:00,187.94435113908077,0.0,187.944351139,0.0,-0.0,0.0,355.9438861312739,-0.0,0.41508161331269433,325.5436736484402,325.95875526175286,187.944351139,138.01440412275286
2019-02-27 17:00:00,247.81532778761556,0.0,247.815327788,0.0,-0.0,0.0,355.9438861312739,-0.0,0.0,331.0509914357258,331.0509914357258,247.815327788,83.2356636477258
2019-02-27 18:00:00,304.65040074165324,0.0,304.650400742,0.0,-0.0,0.0,355.9438861312739,-0.0,0.0,318.81250746397995,318.81250746397995,304.650400742,14.162106721979967
2019-02-27 19:00:00,312.32560142455395,0.0,0.0,312.325601425,0.0,312.325601425,35.50443742674376,-0.0,0.0,299.23093310918654,299.23093310918654,0.0,299.23093310918654
2019-02-27 20:00:00,307.66729789592864,0.0,281.48513135015503,26.182166545844986,0.0,26.182166545844986,8.642089365739752,-0.0,0.0,281.48513135015503,281.48513135015503,281.48513135015503,0.0
2019-02-27 21:00:00,275.2222136052792,0.0,266.79895058406,8.423263020939986,0.0,8.423263020939986,0.0,-0.0,0.0,266.79895058406,266.79895058406,266.79895058406,0.0
2019-02-27 22:00:00,226.3620449747541,0.0,271.69434417275835,0.0,45.33229919775833,-45.33229919775833,44.18444004977189,-0.0,0.0,271.69434417275835,271.69434417275835,271.69434417275835,0.0
2019-02-27 23:00:00,162.58892236740084,0.0,280.2612829529804,0.0,117.67236058598041,-117.67236058598041,137.10825483515467,-0.0,0.0,280.2612829529804,280.2612829529804,280.2612829529804,0.0
2019-02-28 00:00:00,109.65783940617342,0.0,0.0,109.65783940600001,0.0,109.65783940600001,24.60163531672066,-0.0,0.0,280.8732071515677,280.8732071515677,0.0,280.8732071515677
2019-02-28 01:00:00,83.07800779855314,0.0,290.6639943289644,0.0,207.5859865303644,-207.5859865303644,203.56141124337574,-0.0,0.0,290.6639943289644,290.6639943289644,290.6639943289644,0.0
2019-02-28 02:00:00,72.3157134963021,0.0,0.0,72.3157134963,0.0,72.3157134963,129.36702160736087,-0.0,0.0,309.6336444851705,309.6336444851705,0.0,309.6336444851705
2019-02-28 03:00:00,66.86799039457317,0.0,66.8679903946,0.0,-0.0,0.0,129.36702160736087,-0.0,0.0,309.6336444851705,309.6336444851705,66.8679903946,242.76565409057054
2019-02-28 04:00:00,76.03822425790584,0.0,76.0382242579,0.0,-0.0,0.0,129.36702160736087,-0.0,0.0,310.2455686837578,310.2455686837578,76.0382242579,234.20734442585783
2019-02-28 05:00:00,95.68655214435809,0.0,321.8721284569164,0.0,226.18557631251642,-226.18557631251642,349.8253529420681,-0.0,0.0,321.8721284569164,321.8721284569164,321.8721284569164,0.0
2019-02-28 06:00:00,110.7252875798883,0.0,0.0,110.72528758,0.0,110.72528758,236.2235542169453,-0.0,0.28301019089501883,273.5301167685202,273.81312695941523,0.0,273.81312695941523
2019-02-28 07:00:00,111.01693270295243,0.0,217.2330904984892,0.0,106.21615779548918,-106.21615779548918,339.7502126808949,-0.0,53.73655999619171,217.2330904984892,270.9696504946809,217.2330904984892,53.73655999619169
2019-02-28 08:00:00,107.280079917302,0.0,178.06994178890238,0.0,70.78986187190239,-70.78986187190239,408.7476044603389,-0.0,111.71827285580869,178.06994178890238,289.78821464471105,178.06994178890238,111.71827285580866
2019-02-28 09:00:00,104.5911575948191,153.07313700034334,0.0,0.0,48.48197940534338,-48.48197940534338,424.4700405813227,-0.0,153.0731370003433,127.89215750474433,280.9652945050876,153.07313700034334,127.89215750474429
2019-02-28 10:00:00,92.90320698189609,92.9032069819,0.0,0.0,-0.0,0.0,424.4700405813227,-0.0,180.2256063984629,83.22169100787193,263.4472974063348,92.9032069819,170.54409042443484
2019-02-28 11:00:00,95.10732101356075,188.5531812655489,0.0,0.0,93.44586025194887,-93.44586025194887,515.549758205832,-0.0,188.5531812655489,51.40163268133266,239.95481394688153,188.5531812655489,51.40163268133264
2019-02-28 12:00:00,100.94391119513895,179.64543550712813,0.0,0.0,78.70152431212814,-78.70152431212814,592.2584812208527,-0.0,179.64543550712816,31.20813412795197,210.85356963508013,179.64543550712813,31.208134127952007
2019-02-28 13:00:00,106.77971932670418,154.63912672329576,0.0,0.0,47.859407396295765,-47.859407396295765,638.9060405624668,-0.0,154.6391267232958,25.70081634066633,180.33994306396212,154.63912672329576,25.700816340666364
2019-02-28 14:00:00,110.62033418598448,113.45642711155561,22.029271149142566,0.0,24.865364074698178,-24.865364074698178,663.1417887534295,-0.0,113.45642711155561,22.029271149142566,135.48569826069817,135.48569826069817,0.0
2019-02-28 15:00:00,125.57599031921349,58.545374823149565,23.253119546317155,0.0,-0.0,0.0,663.1417887534295,0.0,58.545374823149565,23.253119546317155,81.79849436946672,81.79849436946672,0.0
2019-02-28 16:00:00,180.38257081181354,0.5212104348983265,29.984285730777383,0.0,-0.0,0.0,663.1417887534295,0.0,0.5212104348983265,29.984285730777383,30.50549616567571,30.50549616567571,0.0
2019-02-28 17:00:00,246.88652215220884,0.0,36.10352771665032,210.78299443534968,0.0,210.78299443534968,446.8829030745592,-0.0,0.0,36.10352771665032,36.10352771665032,36.10352771665032,0.0
2019-02-28 18:00:00,304.7318259775709,0.0,38.551224510999496,266.1806014670005,0.0,266.1806014670005,173.7872464880847,-0.0,0.0,38.551224510999496,38.551224510999496,38.551224510999496,0.0
2019-02-28 19:00:00,312.38911136498865,0.0,36.71545191523761,169.38677962036581,0.0,169.38677962036581,0.0,0.0,0.0,36.71545191523761,36.71545191523761,36.71545191523761,0.0
2019-02-28 20:00:00,307.7222642891257,0.0,33.04390672371385,0.0,-0.0,0.0,0.0,0.0,0.0,33.04390672371385,33.04390672371385,33.04390672371385,0.0
2019-02-28 21:00:00,275.33293100315393,0.0,29.984285730777383,0.0,-0.0,0.0,0.0,0.0,0.0,29.984285730777383,29.984285730777383,29.984285730777383,0.0
2019-02-28 22:00:00,226.53309027761398,0.0,32.43198252512656,0.0,-0.0,0.0,0.0,0.0,0.0,32.43198252512656,32.43198252512656,32.43198252512656,0.0
2019-02-28 23:00:00,162.81223151280096,0.0,37.327376113824904,0.0,-0.0,0.0,0.0,0.0,0.0,37.327376113824904,37.327376113824904,37.327376113824904,0.0
2019-03-01 00:00:00,110.05493999461689,0.0,39.163148709586785,0.0,-0.0,0.0,0.0,0.0,0.0,39.163148709586785,39.163148709586785,39.163148709586785,0.0
2019-03-01 01:00:00,83.5811181159861,0.0,41.61084550393596,0.0,-0.0,0.0,0.0,0.0,0.0,41.61084550393596,41.61084550393596,41.61084550393596,0.0
2019-03-01 02:00:00,72.72318839210548,0.0,42.83469390111055,0.0,-0.0,0.0,0.0,0.0,0.0,42.83469390111055,42.83469390111055,42.83469390111055,0.0
