,load_kW,pv_kW,wind_kW,ch_kW,dis_kW,grid_import_kW,soc_kWh,spill_kW,ren_potential_kW,ren_used_kW,battery_net_kW
2019-01-03 23:00:00,163.85986219805358,0.0,294.84028206,0.0,0.0,0.0,0.0,130.98042,294.84028206,163.85986205999998,0.0
2019-01-04 00:00:00,111.11181165953462,0.0,327.26047905,0.0,0.0,0.0,0.0,216.14867,327.26047905,111.11180905,0.0
2019-01-04 01:00:00,84.76971733065972,0.0,358.45727237999995,0.0,0.0,0.0,0.0,273.68756,358.45727237999995,84.76971237999993,0.0
2019-01-04 02:00:00,74.13326599205689,0.0,379.86683643,0.0,0.0,0.0,0.0,305.73357,379.86683643,74.13326642999999,0.0
2019-01-04 03:00:00,68.43821591570362,0.0,387.20725839,0.0,0.0,0.0,0.0,318.76904,387.20725839,68.43821838999997,0.0
2019-01-04 04:00:00,77.47728889312792,0.0,377.42002911,0.0,0.0,0.0,0.0,299.94274,377.42002911,77.47728910999996,0.0
2019-01-04 05:00:00,97.08268109575793,0.0,374.97322178999997,0.0,0.0,0.0,0.0,277.89054,374.97322178999997,97.08268178999998,0.0
2019-01-04 06:00:00,119.46956458808819,0.0,368.85620349,0.0,0.0,0.0,0.0,249.38664,368.85620349,119.46956348999998,0.0
2019-01-04 07:00:00,123.39173780235473,0.0,354.78706139999997,0.0,0.0,0.0,0.0,231.39533,354.78706139999997,123.39173139999997,0.0
2019-01-04 08:00:00,108.09559637275633,5.1222241837,334.60090101000003,0.0,0.0,0.0,0.0,231.62753,339.7231251937,108.0955951937,0.0
2019-01-04 09:00:00,105.43509442169668,41.964016274200006,304.62751134,0.0,0.0,0.0,0.0,241.15644,346.5915276142,105.4350876142,0.0
2019-01-04 10:00:00,93.71837472113663,45.53612471,287.4998601,0.0,0.0,0.0,0.0,239.31761,333.03598481,93.71837481,0.0
2019-01-04 11:00:00,95.42151432217783,54.548974263999995,304.01580951,0.0,0.0,0.0,0.0,263.14327,358.564783774,95.421513774,0.0
2019-01-04 12:00:00,100.87438590001653,41.2986697888,334.60090101000003,0.0,0.0,0.0,0.0,275.02519,375.8995707988,100.87438079880002,0.0
2019-01-04 13:00:00,106.56804858493909,16.6690529055,370.69130898,0.0,0.0,0.0,0.0,280.79232,387.36036188549997,106.56804188549995,0.0
2019-01-04 14:00:00,110.01513719696726,0.8871286472,433.69659747,0.0,0.0,0.0,0.0,324.56859,434.58372611719994,110.01513611719997,0.0
2019-01-04 15:00:00,124.48001884882581,0.0,465.50509263,0.0,0.0,0.0,0.0,341.02508,465.50509263,124.48001262999998,0.0
2019-01-04 16:00:00,183.12478793793645,0.0,471.0104091,0.0,0.0,0.0,0.0,287.88562,471.0104091,183.1247891,0.0
2019-01-04 17:00:00,265.2423769818073,0.0,471.0104091,0.0,0.0,0.0,0.0,205.76803,471.0104091,265.2423791,0.0
2019-01-04 18:00:00,303.5457113659209,0.0,458.7763725,0.0,0.0,0.0,0.0,155.23066,458.7763725,303.5457125,0.0
2019-01-04 19:00:00,311.24484269899256,0.0,444.09552857999995,0.0,0.0,0.0,0.0,132.85069,444.09552857999995,311.24483857999996,0.0
2019-01-04 20:00:00,306.45951928949785,0.0,433.08489563999996,0.0,0.0,0.0,0.0,126.62538,433.08489563999996,306.45951563999995,0.0
2019-01-04 21:00:00,273.8907715115355,0.0,429.41468466,0.0,0.0,0.0,0.0,155.52392,429.41468466,273.89076465999995,0.0
2019-01-04 22:00:00,224.94922123461893,0.0,425.1327718499999,0.0,0.0,0.0,0.0,200.18355,425.1327718499999,224.94922184999993,0.0
2019-01-04 23:00:00,161.03443266541763,0.0,412.89873525,0.0,0.0,0.0,0.0,251.86431,412.89873525,161.03442525000003,0.0
2019-01-05 00:00:00,107.95157097214187,0.0,384.14874924,0.0,0.0,0.0,0.0,276.19718,384.14874924,107.95156923999997,0.0
2019-01-05 01:00:00,81.24210411204844,0.0,362.73918518999994,0.0,0.0,0.0,0.0,281.49708,362.73918518999994,81.24210518999996,0.0
2019-01-05 02:00:00,70.35265916034729,0.0,336.4360065,0.0,0.0,0.0,0.0,266.08335,336.4360065,70.35265650000002,0.0
2019-01-05 03:00:00,64.83087745271665,0.0,298.51049304,0.0,0.0,0.0,0.0,233.67962,298.51049304,64.83087303999997,0.0
2019-01-05 04:00:00,73.88817085231092,0.0,275.2658235,85.21598,0.0,0.0,0.0,116.16167,275.2658235,159.1041535,-85.21598
2019-01-05 05:00:00,93.63897771608812,0.0,247.12753932,153.48856,0.0,0.0,83.058263,0.0,247.12753932,247.12753932,-153.48856
2019-01-05 06:00:00,116.68035795215877,0.0,228.77648442,112.09613,0.0,0.0,232.66041,0.0,228.77648442,228.77648442,-112.09613
2019-01-05 07:00:00,121.87874532981081,0.0,215.31904415999998,93.4403,0.0,0.0,341.9182,0.0,215.31904415999998,215.31904415999998,-93.4403
2019-01-05 08:00:00,112.82240106103454,15.595532866999998,206.14351671,108.91665,0.0,0.0,432.99254,0.0,221.739049577,221.739049577,-108.91665
2019-01-05 09:00:00,110.16024270795955,69.2101907898,165.77119593,124.82115,0.0,0.0,539.15136,0.0,234.9813867198,234.9813867198,-124.82115
2019-01-05 10:00:00,98.67114751594528,104.42400743729999,114.99994403999999,3.160542,0.0,0.0,660.81196,117.59226,219.42395147729997,101.83169147729997,-3.160542
2019-01-05 11:00:00,100.59546037557719,111.8985381669,81.35634339,0.080026711,0.0,0.0,663.89248,92.579396,193.2548815569,100.67548555689999,-0.080026711
2019-01-05 12:00:00,105.81177159189205,99.43154941210001,66.06379763999999,0.0020263216,0.0,0.0,663.97048,59.681551,165.4953470521,105.81379605209999,-0.0020263216
2019-01-05 13:00:00,112.82410463922852,69.7504898861,60.55848117,5.1307608e-05,0.0,0.0,663.97245,17.484816,130.3089710561,112.82415505610001,-5.1307608e-05
2019-01-05 14:00:00,116.98911275637882,0.6110806373,51.38295372,1.2991378e-06,0.0,64.995079,663.9725,0.0,51.9940343573,51.9940343573,-1.2991378e-06
